"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 16 18:45:46 UTC 2022","Sat Jul 16 18:45:53 UTC 2022","6283","","Login Functionality","","","","login with invalid password credentials read data from fixture",""
"passed","Sat Jul 16 18:46:30 UTC 2022","Sat Jul 16 18:46:34 UTC 2022","3562","","My Account Functionality","","","","Sample Test",""
"passed","Sat Jul 16 18:45:11 UTC 2022","Sat Jul 16 18:45:26 UTC 2022","14300","","Login Functionality","","","","login with valid credentials",""
"passed","Sat Jul 16 18:45:36 UTC 2022","Sat Jul 16 18:45:46 UTC 2022","10064","","Login Functionality","","","","login with invalid email credentials read data from fixture",""
"failed","Sat Jul 16 18:45:53 UTC 2022","Sat Jul 16 18:46:06 UTC 2022","12927","","Login Functionality","","","","login with wrong email format credentials read data from fixture",""
"passed","Sat Jul 16 18:45:26 UTC 2022","Sat Jul 16 18:45:36 UTC 2022","10262","","Login Functionality","","","","login with valid credentials read data from fixture",""
